2025-11-04 00:23:11, Frame 93, Emotion: neutral, Stressed: False
2025-11-04 00:23:11, Frame 94, Emotion: neutral, Stressed: False
2025-11-04 00:23:11, Frame 95, Emotion: surprise, Stressed: False
2025-11-04 00:23:11, Frame 96, Emotion: angry, Stressed: True
2025-11-04 00:23:12, Frame 97, Emotion: sad, Stressed: True
2025-11-04 00:23:12, Frame 98, Emotion: happy, Stressed: False
2025-11-04 00:23:12, Frame 99, Emotion: happy, Stressed: False
2025-11-04 00:23:12, Frame 100, Emotion: happy, Stressed: False
2025-11-04 00:23:12, Frame 101, Emotion: happy, Stressed: False
2025-11-04 00:23:12, Frame 102, Emotion: happy, Stressed: False
2025-11-04 00:23:12, Frame 103, Emotion: happy, Stressed: False
2025-11-04 00:23:13, Frame 104, Emotion: happy, Stressed: False
2025-11-04 00:23:13, Frame 105, Emotion: happy, Stressed: False
2025-11-04 00:23:13, Frame 106, Emotion: happy, Stressed: False
2025-11-04 00:23:13, Frame 107, Emotion: happy, Stressed: False
2025-11-04 00:23:13, Frame 108, Emotion: happy, Stressed: False
2025-11-04 00:23:13, Frame 109, Emotion: happy, Stressed: False
2025-11-04 00:23:13, Frame 110, Emotion: happy, Stressed: False
2025-11-04 00:23:13, Frame 111, Emotion: happy, Stressed: False
2025-11-04 00:23:13, Frame 112, Emotion: happy, Stressed: False
2025-11-04 00:23:14, Frame 113, Emotion: happy, Stressed: False
2025-11-04 00:23:14, Frame 114, Emotion: happy, Stressed: False
2025-11-04 00:23:14, Frame 115, Emotion: happy, Stressed: False
2025-11-04 00:23:14, Frame 116, Emotion: happy, Stressed: False
2025-11-04 00:23:14, Frame 117, Emotion: happy, Stressed: False
2025-11-04 00:23:14, Frame 118, Emotion: happy, Stressed: False
2025-11-04 00:23:14, Frame 119, Emotion: happy, Stressed: False
2025-11-04 00:23:14, Frame 120, Emotion: happy, Stressed: False
2025-11-04 00:23:15, Frame 121, Emotion: neutral, Stressed: False
2025-11-04 00:23:15, Frame 122, Emotion: neutral, Stressed: False
2025-11-04 00:23:15, Frame 123, Emotion: neutral, Stressed: False
2025-11-04 00:23:15, Frame 124, Emotion: happy, Stressed: False
2025-11-04 00:23:15, Frame 125, Emotion: happy, Stressed: False
2025-11-04 00:23:15, Frame 126, Emotion: happy, Stressed: False
2025-11-04 00:23:15, Frame 127, Emotion: happy, Stressed: False
2025-11-04 00:23:15, Frame 128, Emotion: neutral, Stressed: False
2025-11-04 00:23:15, Frame 129, Emotion: neutral, Stressed: False
2025-11-04 00:23:16, Frame 130, Emotion: happy, Stressed: False
2025-11-04 00:23:16, Frame 131, Emotion: happy, Stressed: False
2025-11-04 00:23:16, Frame 132, Emotion: happy, Stressed: False
2025-11-04 00:23:16, Frame 133, Emotion: happy, Stressed: False
2025-11-04 00:23:16, Frame 134, Emotion: happy, Stressed: False
2025-11-04 00:23:16, Frame 135, Emotion: happy, Stressed: False
2025-11-04 00:23:16, Frame 136, Emotion: happy, Stressed: False
2025-11-04 00:23:16, Frame 137, Emotion: surprise, Stressed: False
2025-11-04 00:23:16, Frame 138, Emotion: happy, Stressed: False
2025-11-04 00:23:17, Frame 139, Emotion: happy, Stressed: False
2025-11-04 00:23:17, Frame 140, Emotion: neutral, Stressed: False
2025-11-04 00:23:17, Frame 141, Emotion: neutral, Stressed: False
2025-11-04 00:23:17, Frame 142, Emotion: neutral, Stressed: False
2025-11-04 00:23:17, Frame 143, Emotion: neutral, Stressed: False
2025-11-04 00:23:17, Frame 144, Emotion: happy, Stressed: False
2025-11-04 00:23:17, Frame 145, Emotion: neutral, Stressed: False
2025-11-04 00:23:17, Frame 146, Emotion: neutral, Stressed: False
2025-11-04 00:23:17, Frame 147, Emotion: neutral, Stressed: False
2025-11-04 00:23:18, Frame 148, Emotion: happy, Stressed: False
2025-11-04 00:23:18, Frame 149, Emotion: neutral, Stressed: False
2025-11-04 00:23:18, Frame 150, Emotion: neutral, Stressed: False
2025-11-04 00:23:18, Frame 151, Emotion: neutral, Stressed: False
2025-11-04 00:23:18, Frame 152, Emotion: neutral, Stressed: False
2025-11-04 00:23:18, Frame 153, Emotion: neutral, Stressed: False
2025-11-04 00:23:18, Frame 154, Emotion: neutral, Stressed: False
2025-11-04 00:23:18, Frame 155, Emotion: neutral, Stressed: False
2025-11-04 00:23:19, Frame 156, Emotion: fear, Stressed: True
2025-11-04 00:23:19, Frame 157, Emotion: neutral, Stressed: False
2025-11-04 00:23:19, Frame 158, Emotion: neutral, Stressed: False
2025-11-04 00:23:19, Frame 159, Emotion: fear, Stressed: True
2025-11-04 00:23:19, Frame 160, Emotion: fear, Stressed: True
2025-11-04 00:23:19, Frame 161, Emotion: fear, Stressed: True
2025-11-04 00:23:19, Frame 162, Emotion: fear, Stressed: True
2025-11-04 00:23:19, Frame 163, Emotion: happy, Stressed: False
2025-11-04 00:23:19, Frame 164, Emotion: happy, Stressed: False
2025-11-04 00:23:20, Frame 165, Emotion: angry, Stressed: True
2025-11-04 00:23:20, Frame 166, Emotion: happy, Stressed: False
2025-11-04 00:23:20, Frame 167, Emotion: happy, Stressed: False
2025-11-04 00:23:20, Frame 168, Emotion: happy, Stressed: False
2025-11-04 00:23:20, Frame 169, Emotion: happy, Stressed: False
2025-11-04 00:23:20, Frame 170, Emotion: happy, Stressed: False
2025-11-04 00:23:20, Frame 171, Emotion: happy, Stressed: False
2025-11-04 00:23:21, Frame 172, Emotion: happy, Stressed: False
2025-11-04 00:23:21, Frame 173, Emotion: happy, Stressed: False
2025-11-04 00:23:21, Frame 174, Emotion: happy, Stressed: False
2025-11-04 00:23:21, Frame 175, Emotion: happy, Stressed: False
2025-11-04 00:23:21, Frame 176, Emotion: happy, Stressed: False
2025-11-04 00:23:21, Frame 177, Emotion: happy, Stressed: False
2025-11-04 00:23:21, Frame 178, Emotion: happy, Stressed: False
2025-11-04 00:23:21, Frame 179, Emotion: happy, Stressed: False
2025-11-04 00:23:21, Frame 180, Emotion: happy, Stressed: False
2025-11-04 00:23:22, Frame 181, Emotion: happy, Stressed: False
2025-11-04 00:23:22, Frame 182, Emotion: happy, Stressed: False
2025-11-04 00:23:22, Frame 183, Emotion: happy, Stressed: False
2025-11-04 00:23:22, Frame 184, Emotion: happy, Stressed: False
2025-11-04 00:23:22, Frame 185, Emotion: happy, Stressed: False
2025-11-04 00:23:22, Frame 186, Emotion: fear, Stressed: True
2025-11-04 00:23:22, Frame 187, Emotion: happy, Stressed: False
2025-11-04 00:23:22, Frame 188, Emotion: happy, Stressed: False
2025-11-04 00:23:22, Frame 189, Emotion: happy, Stressed: False
2025-11-04 00:23:23, Frame 190, Emotion: happy, Stressed: False
2025-11-04 00:23:23, Frame 191, Emotion: happy, Stressed: False
2025-11-04 00:23:23, Frame 192, Emotion: happy, Stressed: False
2025-11-04 00:23:23, Frame 193, Emotion: happy, Stressed: False
2025-11-04 00:23:23, Frame 194, Emotion: happy, Stressed: False
2025-11-04 00:23:23, Frame 195, Emotion: happy, Stressed: False
2025-11-04 00:23:23, Frame 196, Emotion: happy, Stressed: False
2025-11-04 00:23:23, Frame 197, Emotion: happy, Stressed: False
2025-11-04 00:23:24, Frame 198, Emotion: happy, Stressed: False
2025-11-04 00:23:24, Frame 199, Emotion: happy, Stressed: False
2025-11-04 00:23:24, Frame 200, Emotion: happy, Stressed: False
2025-11-04 00:23:24, Frame 201, Emotion: happy, Stressed: False
2025-11-04 00:23:24, Frame 202, Emotion: happy, Stressed: False
2025-11-04 00:23:24, Frame 203, Emotion: happy, Stressed: False
2025-11-04 00:23:24, Frame 204, Emotion: happy, Stressed: False
2025-11-04 00:23:24, Frame 205, Emotion: happy, Stressed: False
2025-11-04 00:23:25, Frame 206, Emotion: happy, Stressed: False
2025-11-04 00:23:25, Frame 207, Emotion: happy, Stressed: False
2025-11-04 00:23:25, Frame 208, Emotion: happy, Stressed: False
2025-11-04 00:23:25, Frame 209, Emotion: happy, Stressed: False
2025-11-04 00:23:25, Frame 210, Emotion: happy, Stressed: False
2025-11-04 00:23:25, Frame 211, Emotion: happy, Stressed: False
2025-11-04 00:23:25, Frame 212, Emotion: sad, Stressed: True
2025-11-04 00:23:26, Frame 213, Emotion: happy, Stressed: False
2025-11-04 00:23:26, Frame 214, Emotion: neutral, Stressed: False
2025-11-04 00:23:26, Frame 215, Emotion: neutral, Stressed: False
2025-11-04 00:23:26, Frame 216, Emotion: neutral, Stressed: False
2025-11-04 00:23:26, Frame 217, Emotion: neutral, Stressed: False
2025-11-04 00:23:26, Frame 218, Emotion: happy, Stressed: False
2025-11-04 00:23:26, Frame 219, Emotion: happy, Stressed: False
